Compliance_Breaches,Time_to_Compliance_Days,Training_Completion_Rate,Audit_Findings,Audit_Score,Fines_Penalties_Amount,Incident_Response_Time_Minutes,Suspicious_Activity_Reports,Regulatory_Change_Impact_Score,Department,Employee_ID,Location,Quarter,Year,Compliance_Manager,Training_Session_Attended,Audit_Type,Regulation_ID
5,253,65.03159643,7,61.62967995,17369.14266,38,,1.718622708,HR,2307,ATL,Q1,2019,Manager_A,Yes,External,104
7,111,78.56757829,7,67.14513218,3433.601145,41,3,3.760930322,Operations,2506,LA,Q3,2020,Manager_C,No,Internal,144
6,110,,16,53.54823166,1713.863684,25,2,,Operations,3754,ATL,Q1,2021,,No,,
3,143,89.19561903,16,,7351.037245,34,4,,Operations,,NY,Q4,2021,Manager_B,No,External,163
4,95,66.62238591,2,73.03711086,710.449798,34,3,4.553038596,IT,2939,ATL,Q1,2023,,Yes,Internal,142
2,133,79.56712949,0,97.77404474,7253.380209,33,3,,Finance,1598,LA,Q3,2019,Manager_A,No,Internal,142
4,155,85.7819618,16,65.67052931,8544.865318,,1,3.689096848,,4317,CHI,,2020,Manager_A,Yes,External,150
1,210,94.45210588,15,95.12267696,667.1081054,19,1,5.371786027,IT,4229,CHI,Q3,2022,Manager_A,Yes,External,112
9,184,91.78937182,16,61.44291379,18831.28017,35,5,4.012702893,HR,4428,NY,Q2,2021,Manager_A,No,External,189
3,171,80.41545141,1,59.54844489,21172.27301,12,1,2.75687283,Operations,4619,CHI,Q2,2021,Manager_B,,External,172
1,151,69.41965902,13,75.94977282,13800.88864,27,1,6.84430013,Finance,1235,ATL,Q3,,Manager_C,Yes,Internal,167
5,101,75.1602335,6,,,4,3,7.060923113,Operations,2783,LA,Q4,2023,Manager_C,Yes,Internal,194
4,215,88.43673967,,,1412.306239,16,2,,,4531,NY,Q3,2020,Manager_C,Yes,Internal,168
6,214,93.87727713,0,,4361.480249,21,,8.872766048,,1099,CHI,Q4,2023,Manager_C,Yes,External,106
5,142,55.18909641,16,72.78418333,2723.065552,,1,7.340157139,Finance,3786,ATL,Q3,2021,Manager_A,No,Internal,191
8,113,69.24281312,9,66.5502168,1153.035703,36,4,7.18748278,HR,3166,ATL,Q3,2023,Manager_B,No,,
5,273,88.80582992,5,85.63105397,2755.429936,24,1,,,2377,SF,,2023,Manager_C,Yes,External,187
7,194,71.58258813,6,75.5580298,5451.581514,,2,1.988013173,Finance,3755,SF,Q1,2023,Manager_C,Yes,Internal,141
,203,66.6113882,5,58.01795528,367.7661499,38,1,,HR,3135,LA,,2023,Manager_B,,Internal,104
1,206,70.56613484,4,94.72326897,,28,4,3.096561355,Finance,3083,NY,Q3,2019,Manager_C,No,Internal,146
5,107,80.14223734,1,64.64528377,89.77561399,16,0,4.200085542,Finance,1313,CHI,Q4,2019,Manager_B,Yes,External,
4,269,99.99025721,17,86.55655545,6921.392082,27,1,2.307676183,IT,4611,CHI,Q4,2019,Manager_C,Yes,Internal,197
3,155,74.64962146,,88.99578896,5117.866406,29,2,2.756367717,,1550,ATL,,,Manager_B,,External,191
2,229,60.42472375,6,98.15788501,,17,0,7.978755118,IT,,CHI,,2020,Manager_C,Yes,Internal,146
12,267,58.14232876,18,74.92537333,16724.68446,33,1,3.356736576,IT,3474,LA,Q1,2022,Manager_A,Yes,External,107
5,184,52.11748737,6,80.79177577,114.4067499,32,0,5.041314696,IT,,SF,Q3,2023,Manager_C,Yes,Internal,120
10,109,77.94086175,6,66.74381467,4457.510698,34,2,2.365042358,Operations,3011,ATL,Q2,2020,Manager_A,Yes,,
6,30,77.22860457,15,83.90896467,7488.755143,,,7.101369157,HR,3700,NY,Q1,2019,Manager_B,Yes,External,123
1,177,60.26169634,11,73.16917429,7753.400172,,3,7.554427607,Operations,4811,ATL,Q3,2023,Manager_A,No,Internal,112
6,195,84.76647032,14,71.88261824,174.4332988,28,2,4.255230861,HR,1008,CHI,,2022,Manager_C,No,External,114
2,145,87.05535208,14,92.77337646,11844.43291,32,0,8.062719815,Finance,4430,LA,Q4,2023,Manager_A,No,Internal,188
4,188,62.95491027,10,52.50844217,12532.79726,,,3.159159867,IT,,NY,Q2,2021,Manager_A,,,152
5,205,67.2049882,1,94.09812139,4120.727471,24,1,7.227134759,Operations,1056,ATL,Q1,2021,Manager_C,,Internal,191
8,239,99.52358362,2,,,43,4,7.569681233,Finance,3330,CHI,Q1,2020,Manager_B,Yes,Internal,171
4,166,,18,75.31831268,229.52583,9,0,9.7179164,Operations,,ATL,Q4,2022,Manager_A,No,External,130
2,177,88.04008359,,74.51014271,4127.158383,38,2,3.090894987,Finance,1460,NY,Q1,2020,Manager_C,Yes,Internal,170
1,169,72.63627133,14,68.0903684,2632.904458,23,0,1.84339432,Operations,4561,CHI,Q1,2023,Manager_A,No,External,
8,182,89.66724139,15,99.70868958,7409.763971,22,1,,Finance,2382,SF,Q3,2022,Manager_B,No,External,146
8,149,88.45116194,0,55.55846664,2586.596367,32,1,2.105759769,Finance,4761,NY,,2020,Manager_B,Yes,Internal,138
4,148,83.38780126,14,79.51076178,5753.437338,15,,2.527248776,Operations,3011,SF,Q4,2023,Manager_B,No,Internal,180
1,152,92.73891731,11,84.08407951,534.6317393,21,3,4.007030607,Finance,3641,SF,Q2,2019,Manager_A,No,External,156
9,,96.96092474,6,,713.3062635,21,1,4.72591672,IT,1929,CHI,Q1,2023,Manager_C,No,External,
4,129,78.99916602,6,89.01017484,752.4297944,27,2,9.133518032,,4668,ATL,Q1,2020,Manager_B,No,External,
2,152,61.87344536,10,82.19236014,232.9717576,,1,2.760541944,IT,3112,ATL,Q1,2022,Manager_C,Yes,External,134
4,288,,19,55.84061584,3897.108974,46,,9.745830783,,4500,LA,Q2,2022,Manager_B,Yes,External,
30,2330,879.1528568,100,686.8667584,78986.12264,470,20,82.91378889,HR,18540,NY,Q4,20190,Manager_A,Yes,Internal,1060
,122,,16,56.94208213,4713.317323,9,5,8.933242509,Operations,,NY,Q4,2020,Manager_A,Yes,Internal,152
,231,58.88991693,2,94.06063662,4277.79982,35,3,9.364995908,IT,2891,CHI,Q3,2019,Manager_B,Yes,External,109
40,2170,525.6197706,150,874.8105778,,,,77.79170774,IT,45280,CHI,Q4,20210,,No,External,1910
4,173,84.14807968,4,87.87683934,2074.890995,35,3,8.099018485,IT,1135,LA,Q3,2023,Manager_C,Yes,External,138
5,,,1,82.61282589,2246.725051,,0,,,1761,LA,Q1,2021,,Yes,Internal,157
11,130,74.98351219,6,75.35217685,1886.35729,27,,5.594052112,Operations,2009,,Q4,,Manager_A,Yes,Internal,192
8,193,87.33733863,9,57.49855297,6225.865547,22,0,9.392368841,Finance,2629,LA,Q3,2019,Manager_C,Yes,Internal,134
6,129,78.13333903,4,66.48474434,881.5403843,25,2,4.404303204,HR,4119,ATL,Q3,2019,Manager_C,Yes,External,158
2,245,54.16512916,14,,65.55426581,17,0,1.377523658,IT,2955,,Q2,2023,Manager_A,Yes,Internal,
8,262,59.27901184,11,86.24565714,4534.133868,28,2,7.864789469,IT,3659,LA,Q1,2019,Manager_C,No,Internal,108
,177,60.9664092,9,58.0114388,14269.54617,,2,6.158417605,HR,1849,ATL,Q4,2019,Manager_B,No,Internal,199
6,248,62.89321268,16,,4700.457648,27,5,8.333883661,Operations,4265,ATL,Q4,2019,Manager_A,Yes,Internal,107
5,155,78.2701696,19,84.61276948,7637.484721,17,1,,Operations,,SF,Q4,2019,Manager_B,Yes,External,193
3,137,75.19828899,19,72.96522395,5585.776403,32,3,,,3826,SF,Q3,2019,Manager_A,,External,193
5,246,60.15800192,10,56.76143271,3440.167922,23,0,3.229352992,HR,3867,ATL,Q4,2021,Manager_B,No,Internal,157
3,274,53.37774217,7,65.74004131,6336.203364,32,0,9.12941735,Operations,4070,CHI,Q4,2021,Manager_B,,Internal,
3,297,58.57161022,14,,8689.315359,40,2,1.989189458,HR,3039,SF,Q4,2023,Manager_B,No,,
7,199,99.21906563,1,,1272.73022,45,4,8.587623455,Operations,4235,NY,Q1,2022,Manager_C,No,External,194
4,231,73.42734749,16,55.68715097,2048.348278,4,,1.796988268,Operations,1478,CHI,Q1,2023,Manager_C,Yes,Internal,139
4,198,93.36727524,5,91.45343231,1266.246919,21,0,1.225876199,IT,2310,NY,Q3,2020,Manager_B,,Internal,127
6,264,92.43762333,12,88.05036451,3008.978271,26,1,3.11553487,Operations,1535,LA,Q2,2023,Manager_B,No,Internal,145
,205,75.57597787,7,59.31534591,10816.9231,34,2,3.997400868,Operations,3541,SF,Q4,2023,Manager_A,Yes,External,168
3,228,85.33438542,10,85.95821909,2117.181389,,2,6.638758946,HR,3452,SF,Q4,2019,,No,Internal,180
4,111,59.63760052,,83.42565907,2345.755077,,0,2.185521376,Operations,3143,,Q3,2019,Manager_B,No,,151
6,166,84.41983525,12,87.40604001,9843.697038,31,1,4.935969402,,2520,SF,Q4,2019,Manager_C,Yes,Internal,110
6,228,,17,59.44642777,3621.89251,30,3,2.838372419,HR,3301,NY,Q2,2022,Manager_A,Yes,Internal,121
6,223,91.60310484,17,57.87951611,3833.419653,33,2,8.697729894,Operations,1413,CHI,Q3,2019,Manager_B,No,External,146
6,233,54.18620666,,61.8241993,9859.260879,,4,1.404698572,HR,2656,LA,Q1,2020,,Yes,Internal,188
3,187,88.65693364,12,68.29358516,3371.889523,33,1,4.20343954,HR,3631,,Q2,,,Yes,Internal,112
,140,54.99684533,2,89.68324905,5721.567314,31,3,6.68236672,HR,4936,NY,Q4,2020,Manager_B,Yes,Internal,199
2,176,94.05946184,6,86.89619687,447.6800744,30,1,9.217793602,HR,2394,LA,Q2,2022,Manager_C,Yes,Internal,144
5,182,65.21022591,11,96.27257961,983.9184342,36,3,8.811940804,IT,3623,ATL,,2019,Manager_A,No,Internal,174
3,194,82.71966824,3,52.93147795,,7,1,9.056727996,IT,3290,SF,Q3,2023,Manager_A,Yes,External,168
3,,74.37511393,10,50.57781405,3414.391114,45,1,1.565679643,IT,1638,SF,Q2,2021,,Yes,Internal,177
5,164,68.31515726,13,84.95694149,16867.96476,7,1,8.568309353,,4444,ATL,Q3,2022,Manager_B,Yes,External,121
11,174,82.27209166,17,63.96437479,,19,3,8.019213207,HR,3086,NY,Q3,,Manager_C,,,
7,45,97.37614903,6,,9525.662917,27,2,9.121884843,HR,2920,ATL,Q4,2019,Manager_A,No,External,134
7,229,52.06348737,,,,,2,3.804186405,HR,1352,NY,Q4,2022,Manager_A,No,External,131
4,189,95.94264279,15,55.12065616,16625.11253,0,2,9.205885956,HR,1425,LA,Q3,2022,Manager_B,No,,
1,,80.45408275,10,82.13472083,5845.294979,29,,4.623769766,IT,4148,CHI,Q1,2023,Manager_C,No,External,157
4,149,90.36571504,2,66.25737231,2495.639283,,,6.70689717,Operations,,CHI,Q3,2023,Manager_B,No,External,139
5,215,69.19374767,15,81.63575622,6047.857522,39,4,4.817610921,IT,1509,ATL,Q1,2023,Manager_B,Yes,External,187
4,130,73.59214874,10,91.70034565,83.3037627,23,0,,HR,4588,SF,Q2,2020,Manager_A,No,External,191
4,139,93.44253759,9,58.55556667,790.0261419,26,2,5.919733169,HR,1139,ATL,Q3,2023,Manager_C,Yes,External,120
7,217,,1,96.54365465,8850.548966,23,2,4.203340387,Operations,1251,SF,Q2,2022,Manager_C,No,,148
6,,76.73297834,15,76.53440705,5186.273375,,4,8.134632948,HR,1668,ATL,Q3,2022,Manager_A,Yes,External,
8,103,51.00974615,16,96.14638826,2264.314483,19,4,6.702748619,Operations,4842,ATL,Q2,2022,,No,,191
4,274,57.92990029,9,60.38650411,3472.406753,21,1,7.207801854,HR,1316,CHI,Q1,2021,Manager_C,Yes,Internal,138
3,134,82.0843254,17,80.22813323,11776.8791,34,3,3.079313202,Operations,,SF,,2021,Manager_B,No,Internal,160
0,,85.84884505,,70.19435587,4992.632779,31,2,9.726177596,Finance,3926,CHI,Q2,2020,Manager_B,Yes,External,199
4,284,79.13004684,7,88.71110956,2538.729222,34,,6.94158488,Finance,3796,SF,Q4,2023,,No,Internal,109
1,56,57.16550181,2,80.29544716,641.0232101,,0,2.774762781,Finance,4146,LA,Q3,,Manager_B,Yes,External,139
4,,72.27027143,19,74.72577285,1738.907339,37,2,7.754412191,Finance,3009,LA,Q3,,Manager_B,No,Internal,157
,206,67.75473832,2,95.64927032,19161.49393,38,2,2.563426929,HR,3945,,Q3,2022,Manager_A,Yes,Internal,188
5,31,74.7830672,5,68.85585321,2875.603654,12,,1.570464067,,2052,NY,Q3,2021,Manager_B,Yes,Internal,144
6,,93.51645173,1,60.99901024,3191.774979,21,,5.747980565,,4112,CHI,,2022,Manager_A,No,Internal,116
6,250,88.79307193,2,80.40505934,3451.735845,27,3,5.981715587,Finance,1540,CHI,Q1,2020,Manager_B,Yes,External,167
4,155,54.19947507,16,,10775.3112,29,6,,Operations,4563,LA,Q2,2019,Manager_C,No,Internal,109
4,311,94.51545989,8,71.95473108,4630.79992,23,1,4.135410499,,2123,ATL,Q2,2022,Manager_A,Yes,External,161
,117,73.58835756,3,,5915.576486,39,3,9.511923661,Finance,2343,CHI,Q1,2020,Manager_C,Yes,Internal,188
1,160,87.19310724,1,97.97767071,2466.67689,49,1,3.565029089,HR,1569,SF,Q2,2021,Manager_A,No,Internal,131
9,212,57.00196156,8,86.63428457,147.5952509,31,3,2.400112547,,1722,CHI,Q4,2021,Manager_B,,External,171
7,208,83.53597629,13,55.53008757,13366.28152,30,1,9.933057628,,4721,CHI,Q3,2019,Manager_C,Yes,,141
5,164,61.81630088,10,60.60650354,14892.18166,38,3,3.720749827,Operations,4594,SF,Q3,2023,Manager_A,Yes,External,144
4,141,71.91904486,,98.77883172,,11,2,7.122283058,Finance,4974,LA,Q4,2023,Manager_C,No,,175
5,193,50.8431435,1,86.32327769,14384.15702,30,4,3.084041633,Finance,,LA,Q3,2022,Manager_C,No,External,120
4,262,57.5805319,4,95.75225631,8443.540497,39,2,5.951090773,Finance,2000,SF,Q2,2021,Manager_B,Yes,Internal,126
1,225,54.60402466,6,65.1930732,5769.505406,23,,4.476537879,,3923,,Q1,,Manager_A,No,External,129
3,142,61.98720865,3,87.093343,9305.866662,17,1,9.65421335,HR,3236,CHI,Q1,2019,Manager_B,,External,173
7,120,55.0009045,,85.70013543,4588.286313,28,0,,Operations,,LA,,2023,Manager_C,No,External,184
6,138,84.59550133,1,64.73449927,721.486337,29,1,6.257567658,IT,3141,NY,Q1,2022,Manager_A,Yes,External,100
10,,51.45199511,11,77.54081627,2481.476552,20,,9.502896393,HR,4925,LA,Q1,2022,Manager_C,No,External,108
4,188,80.88702503,9,81.37075556,17753.40444,50,1,9.903108699,Finance,4252,SF,Q3,2021,Manager_C,Yes,External,
5,228,57.03539154,0,74.05659054,2162.674662,25,3,1.914925276,Finance,4392,NY,,,,No,Internal,152
,175,97.25807286,18,91.35893533,10118.25261,,2,8.508886408,Finance,3330,NY,Q4,,Manager_C,Yes,External,141
6,,96.65470366,15,91.64345209,489.2300508,29,2,4.439048448,Finance,,,Q1,2023,Manager_A,Yes,External,118
8,286,61.27515513,14,,2033.708431,39,3,6.353458356,Operations,4392,ATL,Q2,2022,Manager_A,Yes,,105
4,198,80.72106491,13,90.17117845,2161.253231,30,3,4.375432711,Finance,3617,LA,Q4,2021,Manager_A,Yes,,106
3,,51.40026597,,74.40417386,264.9080313,34,3,4.610045851,IT,1024,,Q4,,,No,Internal,142
3,125,96.58942715,14,69.07191491,634.0236525,21,0,2.429717824,HR,2839,LA,Q3,2022,Manager_B,No,Internal,179
9,158,76.14936541,6,91.56881419,1073.181771,44,1,6.154898126,Operations,1259,SF,Q3,2020,Manager_C,,Internal,
7,256,52.16115757,3,74.51007293,9095.106314,35,0,5.920443514,Finance,3013,CHI,Q1,2019,,No,Internal,167
2,145,67.12499965,,62.31856993,327.5055344,40,2,2.704202097,IT,2927,ATL,Q2,2020,,No,External,181
2,269,53.84247309,7,75.36717662,1774.104043,33,1,5.875573864,HR,3544,SF,Q2,2020,Manager_B,Yes,Internal,195
4,246,69.64722197,11,,51.13560886,38,5,9.757916944,HR,2236,LA,Q3,2022,Manager_A,Yes,External,195
6,225,83.49631711,14,84.58147453,5947.519025,21,3,7.429677363,Operations,3162,NY,Q3,2020,Manager_C,No,Internal,181
9,109,73.4944954,14,66.79606408,4841.909749,25,2,5.328843036,HR,1451,SF,Q3,2020,Manager_B,No,Internal,138
11,,69.18610874,16,63.03293992,5177.937624,43,2,9.24475587,Finance,1699,SF,Q1,2019,Manager_A,No,Internal,
4,218,55.95785228,1,97.82543731,,,,6.177829209,,3819,LA,Q2,2020,,Yes,External,136
7,120,,11,88.84404979,1167.660513,,1,2.215431989,IT,4719,ATL,Q1,,Manager_C,Yes,Internal,127
7,168,55.00716439,2,89.35347514,6370.549746,32,1,5.92758683,IT,4561,LA,Q2,2022,Manager_B,Yes,Internal,149
3,225,,6,81.18609846,8333.160619,25,0,2.628758038,HR,4673,LA,Q3,2021,Manager_C,No,Internal,138
7,145,56.7619914,5,91.95864053,745.9902275,23,3,7.907543549,Operations,4804,,Q1,2019,Manager_C,Yes,Internal,101
5,129,79.76866833,13,87.95812406,3335.73495,32,5,9.704567929,Finance,2551,ATL,Q4,,Manager_C,No,Internal,136
,71,67.13702068,4,79.93868521,1429.855565,41,1,4.247367261,HR,2682,SF,Q1,2021,Manager_C,No,Internal,165
9,156,61.29891923,3,98.05622009,920.2564268,34,3,4.914260921,Operations,1384,NY,Q1,2022,Manager_B,Yes,External,118
6,226,81.97342197,14,59.57974748,6627.413509,26,2,4.793468202,HR,1612,LA,Q4,2019,Manager_C,No,Internal,168
3,127,72.85011547,6,97.16898595,3862.001135,35,2,3.567699782,Operations,2441,,Q4,2022,Manager_C,No,Internal,143
6,181,70.00727336,2,70.0719081,1217.9134,26,0,8.147619684,IT,4036,ATL,Q3,2021,Manager_C,Yes,Internal,112
3,166,79.64260024,12,76.41994917,1855.318488,34,,6.559554995,Finance,3266,ATL,Q4,2019,Manager_B,Yes,Internal,121
2,140,74.56338142,,,17004.03799,43,,,IT,3927,LA,Q4,2020,Manager_B,No,Internal,106
,230,65.17421043,1,,9441.778013,9,3,8.549257015,Finance,1556,SF,Q1,2021,Manager_A,No,,101
4,,77.95306439,11,80.56033759,,37,,2.68379408,Operations,4134,,Q1,,Manager_B,No,Internal,161
5,240,83.47492883,11,99.88507709,3081.042708,14,2,9.812360455,Operations,1349,,Q3,2019,,,External,177
4,138,51.33465793,18,98.75962055,4888.268355,42,2,4.389968251,HR,1389,CHI,Q4,2021,Manager_B,No,External,188
3,299,73.29358645,18,,,23,1,6.548046824,Operations,3851,SF,Q2,2021,Manager_B,No,Internal,189
4,240,52.88416423,2,67.41940301,404.4885671,17,3,1.70041257,Operations,3424,LA,Q1,2022,Manager_B,No,Internal,104
3,152,59.3202707,5,99.56332494,2563.046991,36,,4.101969472,HR,3918,,,2022,Manager_C,No,Internal,119
,133,,1,,4506.773573,,1,8.221185616,HR,3113,SF,Q1,2020,,No,External,153
6,247,93.30944576,12,92.59181294,1692.381112,20,1,5.294876428,Finance,2142,NY,Q1,,Manager_A,Yes,External,175
5,190,94.14028396,,60.81599845,9417.748224,17,2,,Operations,1745,SF,Q2,2021,Manager_A,No,Internal,162
5,128,53.49720051,12,,,28,5,6.176245969,HR,3055,CHI,Q3,2022,Manager_A,Yes,Internal,135
5,171,70.95525431,13,98.30060481,2287.444052,17,2,9.357149759,Finance,2730,CHI,Q2,2021,Manager_B,No,External,194
3,155,79.15032415,18,97.35156985,667.1078808,19,2,9.843489163,Finance,2762,,Q2,2023,Manager_A,Yes,External,180
,130,57.35349523,10,,2594.558927,31,2,5.085051036,IT,,CHI,Q3,2022,Manager_B,Yes,External,115
4,240,88.27161084,13,89.89071613,202.3462471,20,5,6.086409153,,1289,LA,Q4,2023,Manager_B,No,Internal,156
,226,87.21176292,15,58.82133483,1591.045896,34,0,8.514285789,IT,,NY,Q2,2023,Manager_A,Yes,Internal,163
3,230,95.16705069,9,86.08292747,2560.259002,44,1,2.99379705,,4230,NY,Q4,2022,Manager_C,Yes,,109
7,229,50.4243006,19,80.90254042,3252.022646,28,1,8.754666164,Operations,4216,NY,Q1,2020,Manager_A,Yes,External,198
3,125,60.8342122,15,54.57758679,3922.984053,31,0,6.327281263,HR,3514,SF,Q3,2021,Manager_A,Yes,Internal,196
6,,91.35933571,1,55.65795033,1607.856947,50,3,7.529501218,HR,2769,SF,Q3,2019,Manager_B,No,Internal,198
7,267,83.52900254,,55.42218089,3701.627236,,1,1.718686204,Finance,,NY,Q1,2019,Manager_B,Yes,External,150
1,186,94.71949268,13,86.21784674,3556.602819,41,3,7.895689151,HR,1890,CHI,,2022,Manager_A,No,Internal,126
,91,,17,57.08576041,1900.288518,40,1,3.797082141,Finance,3486,LA,Q1,2020,Manager_A,Yes,External,106
4,193,,5,73.38661356,,38,2,8.247090492,HR,1202,LA,Q2,2020,Manager_C,Yes,Internal,190
2,219,,6,67.84909029,3944.339616,42,1,5.582372845,HR,1776,SF,,2020,Manager_C,No,Internal,
2,211,51.78372082,12,77.52520704,2019.354788,32,5,3.471529013,Operations,,ATL,Q2,,,Yes,Internal,175
5,123,75.67610385,1,85.32382436,14719.35435,24,1,9.574837273,Finance,4896,NY,Q2,2023,Manager_B,No,Internal,196
5,293,80.47601557,14,84.23612686,9325.278354,40,5,7.885561579,IT,3348,ATL,Q2,,Manager_C,No,Internal,112
3,89,59.56465871,16,75.7759958,20252.92416,41,,9.871174665,Operations,2925,LA,,2020,Manager_B,No,Internal,165
5,186,63.66647916,12,,5892.075589,41,2,4.280229086,Finance,2933,SF,Q4,2019,Manager_B,Yes,Internal,102
11,,82.01736731,6,69.89077976,2375.868097,30,1,,HR,2950,SF,Q2,2019,Manager_A,Yes,External,110
2,215,73.41504738,,93.09549742,1648.500762,22,2,6.504298101,Finance,1437,SF,Q3,2021,Manager_C,No,External,104
,230,92.90068288,2,66.54259024,5443.07975,31,1,7.18801067,Finance,2034,SF,Q3,2022,Manager_A,No,Internal,159
5,116,67.1190883,19,62.96829106,19768.54522,39,2,1.344849094,Operations,,SF,Q4,2023,Manager_A,Yes,External,101
3,200,63.33298292,17,87.16577468,4927.066453,40,2,3.625473915,Finance,,NY,Q4,2021,Manager_B,Yes,,191
4,177,99.24329702,6,67.98817308,10669.06378,25,1,9.184038164,HR,1641,ATL,Q3,2022,Manager_C,,Internal,
10,112,,16,92.34992999,1995.701493,33,2,4.814380494,IT,4174,LA,Q3,2020,Manager_A,Yes,External,198
1,231,51.44963725,11,66.39443593,2612.414723,16,,,,2808,LA,Q3,2021,Manager_B,No,Internal,163
8,130,88.53643077,15,85.09724123,11836.96436,39,6,2.921528554,HR,4557,SF,Q4,2022,Manager_A,Yes,Internal,112
3,137,,9,52.25545031,7070.727172,22,,9.976815761,IT,3157,SF,Q4,2021,Manager_C,No,External,153
5,205,51.37425974,15,,19925.74355,37,3,7.278228181,Operations,,SF,Q3,2019,Manager_B,Yes,Internal,111
4,171,63.6847758,,67.16150875,7453.037344,18,2,7.987540817,Finance,1642,CHI,Q4,2019,Manager_C,,External,117
,190,63.46729395,,,2975.709608,,4,,,1702,LA,Q2,2021,Manager_A,Yes,External,117
3,167,90.96593812,14,98.35277016,3786.487763,33,4,9.163073091,IT,4882,SF,Q3,2021,Manager_B,Yes,External,116
4,264,85.5333623,10,73.04406383,11538.76675,22,2,5.909166109,IT,4164,ATL,Q1,2023,Manager_A,No,External,138
3,124,,17,91.24181386,4010.869109,36,1,7.128445422,IT,3848,,Q3,2020,Manager_A,Yes,External,185
3,152,,5,,1474.522955,24,2,1.853274442,Operations,,,Q4,2019,Manager_C,No,External,112
8,208,70.91277766,0,98.36929938,2860.135819,37,2,6.685126308,Finance,3917,CHI,Q1,2021,Manager_B,No,External,144
1,120,84.94638305,6,,3631.617275,,1,8.911710894,Finance,,CHI,Q1,2022,Manager_A,No,External,118
5,118,,11,53.8739033,508.6125592,12,,2.604549054,HR,3966,CHI,Q3,2020,Manager_C,Yes,Internal,187
7,188,85.50709413,19,85.66408612,6808.256051,20,2,7.639533412,HR,2722,ATL,Q2,2022,Manager_C,No,Internal,118
3,232,88.0840678,3,76.77498577,,25,0,1.228606831,Operations,1848,LA,Q2,,,No,External,120
7,,96.91825076,9,50.8218029,2595.277931,43,,9.335827149,Finance,3554,SF,Q4,2022,Manager_A,No,,
5,185,55.68256307,1,62.56564794,8164.106976,39,1,9.846254044,Finance,3224,ATL,Q1,2019,Manager_B,No,External,129
7,139,85.23921467,8,96.08776225,,46,4,4.187620601,HR,2462,ATL,,2021,Manager_B,,Internal,
5,196,92.5402979,9,96.30306864,9226.292384,46,,1.963664647,HR,2866,SF,Q4,2021,Manager_A,Yes,,147
7,213,97.71893001,19,89.94252301,2091.850012,24,4,6.927187313,Finance,,CHI,Q1,2023,Manager_B,Yes,External,
5,195,60.54846449,10,99.08898016,15807.31637,,5,,,4829,NY,Q4,2021,Manager_B,Yes,External,158
4,254,75.19645039,,90.32726123,1175.248443,25,2,5.342376532,IT,,CHI,Q2,,Manager_B,,External,116
5,119,84.02774238,2,50.51020936,195.0772251,23,0,3.446012576,Operations,,CHI,Q4,2020,Manager_C,Yes,External,147
11,138,62.37338648,0,64.39171702,10295.31473,11,4,5.260051486,Finance,3156,LA,,,Manager_A,Yes,External,197
7,245,80.02364316,6,51.53120911,,29,1,,IT,3919,CHI,Q2,2021,Manager_B,No,External,154
6,91,62.87893912,3,54.70539844,1319.722503,17,3,1.464509648,Operations,2095,,Q2,2022,Manager_C,No,Internal,108
3,147,,6,60.94204085,20913.12788,29,3,1.14378246,Operations,3536,ATL,Q4,2021,Manager_C,No,,176
0,136,72.07593483,15,75.17792732,3488.589344,51,1,6.57218683,Finance,1732,CHI,,2020,Manager_B,Yes,Internal,113
10,86,76.45950494,9,92.37660017,15086.35693,24,4,6.040836259,,3328,ATL,Q3,2023,Manager_A,No,External,125
5,168,72.46829358,14,93.09833781,3516.278211,31,3,,Operations,3950,LA,Q3,2020,Manager_C,No,,151
,224,74.65977599,,80.81009293,3192.107492,39,1,6.81978816,Operations,4960,NY,,2022,Manager_B,Yes,External,184
3,189,,5,96.40879695,2981.35965,32,1,8.957865312,HR,2237,SF,Q1,2022,,Yes,Internal,143
4,227,,3,75.00311633,2038.903506,32,4,,Operations,2480,SF,Q3,2023,Manager_A,,,183
2,,,3,94.45180221,3814.64643,26,0,8.487944271,Operations,4658,LA,Q3,2022,Manager_B,Yes,External,110
,156,59.79893612,3,72.70326282,3012.463307,27,2,6.962582224,HR,3465,,Q3,2021,Manager_C,Yes,Internal,150
7,,79.09718208,16,63.86125037,187.1952647,20,,,Finance,3010,ATL,Q2,,Manager_A,No,External,141
,159,89.30577239,12,95.82064591,1508.467095,38,1,4.376349062,Finance,3801,,Q2,2020,Manager_A,No,External,161
1,167,58.46237987,1,69.39675378,1198.415392,12,3,5.569814943,Finance,2533,CHI,Q2,,Manager_A,Yes,External,134
3,137,55.42776789,19,75.17020544,10103.43366,39,4,7.58529271,IT,1661,ATL,Q2,2021,Manager_A,,Internal,163
7,,87.46451803,5,66.44303163,4567.34829,15,1,3.584175024,,4394,,Q2,2021,Manager_C,Yes,Internal,194
5,162,65.25791653,0,83.14188001,,39,2,9.844570944,IT,2201,CHI,Q3,2023,Manager_C,Yes,Internal,117
5,175,,,99.75156125,15712.58846,26,0,,IT,3735,ATL,Q3,2021,,Yes,,113
4,167,85.71589853,17,51.27567744,5164.674352,17,2,4.355323094,IT,1103,CHI,Q2,2020,Manager_B,No,External,148
,166,66.33780236,3,94.9924003,20259.29728,35,2,1.873225352,HR,4190,SF,Q4,2023,Manager_C,No,Internal,168
